year,soe,arrivals,arrivals_male,arrivals_female
2020,Johor,3391945,1992547,1399398
2020,Kedah,289242,173493,115749
2020,Kelantan,100375,53826,46549
2020,Melaka,10303,4826,5477
2020,Negeri Sembilan,8352,5476,2876
2020,Pahang,1792,980,812
2020,Perak,46530,22041,24489
2020,Perlis,161218,106276,54942
2020,Pulau Pinang,135829,63411,72418
2020,Sabah,102507,47528,54979
2020,Sarawak,297383,177389,119994
2020,Selangor,1619117,938551,680566
2020,Terengganu,49,48,1
2020,W.P. Labuan,7366,4840,2526
2021,Johor,8627,6452,2175
2021,Kedah,215047,214467,580
2021,Kelantan,27,11,16
2021,Melaka,7,4,3
2021,Negeri Sembilan,0,0,0
2021,Pahang,7,7,0
2021,Perak,69,26,43
2021,Perlis,100921,98534,2387
2021,Pulau Pinang,2639,1817,822
2021,Sabah,156,95,61
2021,Sarawak,9907,9556,351
2021,Selangor,133015,93610,39405
2021,Terengganu,47,47,0
2021,W.P. Labuan,90,86,4
2022,Johor,9374160,5367706,4006454
2022,Kedah,537127,347638,189489
2022,Kelantan,186149,94465,91684
2022,Melaka,49385,21975,27410
2022,Negeri Sembilan,50226,34015,16211
2022,Pahang,1603,1001,602
2022,Perak,92868,44469,48399
2022,Perlis,437251,283481,153770
2022,Pulau Pinang,390584,182975,207609
2022,Sabah,142154,67847,74307
2022,Sarawak,628152,345197,282955
2022,Selangor,3252445,2006270,1246175
2022,Terengganu,33,28,5
2022,W.P. Labuan,6375,4151,2224
2023,Johor,17211075,9538441,7672634
2023,Kedah,1067038,592088,474950
2023,Kelantan,547203,288620,258583
2023,Melaka,56977,25712,31265
2023,Negeri Sembilan,85615,55502,30113
2023,Pahang,9211,5033,4178
2023,Perak,229234,107022,122212
2023,Perlis,686268,402739,283529
2023,Pulau Pinang,1033007,483703,549304
2023,Sabah,354341,165025,189316
2023,Sarawak,1659515,899603,759912
2023,Selangor,7553241,4396425,3156816
2023,Terengganu,52,48,4
2023,W.P. Labuan,22527,14611,7916
2024,Johor,9935510,5431337,4504173
2024,Kedah,545741,294646,251095
2024,Kelantan,336325,170187,166138
2024,Melaka,23987,10880,13107
2024,Negeri Sembilan,36289,22083,14206
2024,Pahang,5425,2969,2456
2024,Perak,114713,53559,61154
2024,Perlis,336704,192962,143742
2024,Pulau Pinang,607978,281600,326378
2024,Sabah,333854,147718,186136
2024,Sarawak,1226087,654849,571238
2024,Selangor,4757639,2598074,2159565
2024,Terengganu,82,51,31
2024,W.P. Labuan,11178,7007,4171
